Ticker,Code,Company,Link,Market Cap,Last trade,Change,%Change,Sector
RHC,ASX:RHC,Ramsay Health Care Limited (ASX:RHC),https://www.listcorp.com/asx/rhc/ramsay-health-care-limited,"	9267580000",40.25,0,0,Health Care
SEK,ASX:SEK,SEEK Limited (ASX:SEK),https://www.listcorp.com/asx/sek/seek-limited,"	9173850000",25.71,0,0,Communication Services
ORI,ASX:ORI,Orica Limited (ASX:ORI),https://www.listcorp.com/asx/ori/orica-limited,"	9087610000",18.66,0,0,Materials
GPT,ASX:GPT,The GPT Group (ASX:GPT),https://www.listcorp.com/asx/gpt/gpt-group,"	8926590000",4.66,0,0,Real Estate
GOC,ASX:MGOC,Magellan Global Fund (Open Class) (Managed Fund) (ASX:MGOC),https://www.listcorp.com/asx/mgoc/magellan-global-fund-open-class-managed-fund,"	8673000000",3.4,0,0,Unclassified
MGR,ASX:MGR,Mirvac Group (ASX:MGR),https://www.listcorp.com/asx/mgr/mirvac-group,"	8444140000",2.14,0,0,Real Estate
TPG,ASX:TPG,TPG Telecom Limited (ASX:TPG),https://www.listcorp.com/asx/tpg/tpg-telecom-limited,"	8348440000",4.49,0,0,Communication Services
TLX,ASX:TLX,Telix Pharmaceuticals Limited (ASX:TLX),https://www.listcorp.com/asx/tlx/telix-pharmaceuticals-limited,"	8337990000",24.91,0,0,Health Care
YAL,ASX:YAL,Yancoal Australia Ltd (ASX:YAL),https://www.listcorp.com/asx/yal/yancoal-australia-ltd,"	8160320000",6.18,0,0,Energy
MCY,ASX:MCY,Mercury NZ Limited (ASX:MCY),https://www.listcorp.com/asx/mcy/mercury-nz-limited,"	8074970000",5.84,0,0,Utilities
NEM,ASX:NEM,Newmont Corporation (ASX:NEM),https://www.listcorp.com/asx/nem/newmont-corporation,"	7891260000",64.03,0,0,Materials
EDV,ASX:EDV,Endeavour Group Limited (ASX:EDV),https://www.listcorp.com/asx/edv/endeavour-group-limited,"	7790760000",4.35,0,0,Consumer Staples
BEN,ASX:BEN,Bendigo and Adelaide Bank Limited (ASX:BEN),https://www.listcorp.com/asx/ben/bendigo-and-adelaide-bank-limited,"	7667620000",13.5,0,0,Financials
ALQ,ASX:ALQ,ALS Limited (ASX:ALQ),https://www.listcorp.com/asx/alq/als-limited,"	7632020000",15.75,0,0,Industrials
DXS,ASX:DXS,Dexus (ASX:DXS),https://www.listcorp.com/asx/dxs/dexus,"	7507450000",6.98,0,0,Real Estate
NWL,ASX:NWL,Netwealth Group Limited (ASX:NWL),https://www.listcorp.com/asx/nwl/netwealth-group-limited,"	7453530000",30.45,0,0,Financials
AGL,ASX:AGL,AGL Energy Limited (ASX:AGL),https://www.listcorp.com/asx/agl/agl-energy-limited,"	7433860000",11.05,0,0,Utilities
SQ2,ASX:SQ2,Block Inc. (ASX:SQ2),https://www.listcorp.com/asx/sq2/block-inc,"	7354850000",149,0,0,Financials
UAL,ASX:QUAL,VanEck MSCI International Quality ETF (ASX:QUAL),https://www.listcorp.com/asx/qual/vaneck-msci-international-quality-etf,"	7104070000",58.57,0,0,Unclassified
ARG,ASX:ARG,Argo Investments Limited (ASX:ARG),https://www.listcorp.com/asx/arg/argo-investments-limited,"	7060120000",9.25,0,0,Financials
CHC,ASX:CHC,Charter Hall Group (ASX:CHC),https://www.listcorp.com/asx/chc/charter-hall-group,"	7052390000",14.91,0,0,Real Estate
WOR,ASX:WOR,Worley Limited (ASX:WOR),https://www.listcorp.com/asx/wor/worley-limited,"	7031810000",13.29,0,0,Industrials
QUB,ASX:QUB,Qube Holdings Limited (ASX:QUB),https://www.listcorp.com/asx/qub/qube-holdings-limited,"	6933740000",3.92,0,0,Industrials
MIN,ASX:MIN,Mineral Resources Limited (ASX:MIN),https://www.listcorp.com/asx/min/mineral-resources-limited,"	6830990000",34.76,0,0,Materials
ALD,ASX:ALD,Ampol Limited (ASX:ALD),https://www.listcorp.com/asx/ald/ampol-limited,"	6813060000",28.59,0,0,Energy
PLS,ASX:PLS,Pilbara Minerals Limited (ASX:PLS),https://www.listcorp.com/asx/pls/pilbara-minerals-limited,"	6775970000",2.25,0,0,Materials
