Ticker,Code,Company,Link,Market Cap,Last trade,Change,%Change,Sector
COR,ASX:DCOR,Daintree Core Income Active ETF (ASX:DCOR),https://www.listcorp.com/asx/dcor/daintree-core-income-active-etf,26145400,51.01,0,0,Unclassified
LPE,ASX:LPE,Locality Planning Energy Holdings Limited (ASX:LPE),https://www.listcorp.com/asx/lpe/locality-planning-energy-holdings-limited,26129600,0.145,0,0,Utilities
CBE,ASX:CBE,Cobre Limited (ASX:CBE),https://www.listcorp.com/asx/cbe/cobre-limited,26067300,0.061,0,0,Materials
IAM,ASX:IAM,Income Asset Management Group Limited (ASX:IAM),https://www.listcorp.com/asx/iam/income-asset-management-group-limited,26064400,0.028,0,0,Financials
FPC,ASX:FPC,Fat Prophets Global Contrarian Fund (ASX:FPC),https://www.listcorp.com/asx/fpc/fat-prophets-global-contrarian-fund,26051100,0.905,0,0,Financials
AXI,ASX:AXI,Axiom Properties Limited (ASX:AXI),https://www.listcorp.com/asx/axi/axiom-properties-limited,25962800,0.06,0,0,Real Estate
AHI,ASX:AHI,Advanced Health Intelligence Ltd (ASX:AHI),https://www.listcorp.com/asx/ahi/advanced-health-intelligence-ltd,25829900,0.092,0,0,Health Care
LCE,ASX:LCE,London City Equities Limited (ASX:LCE),https://www.listcorp.com/asx/lce/london-city-equities-limited,25826000,0.825,0,0,Financials
RHY,ASX:RHY,Rhythm Biosciences Limited (ASX:RHY),https://www.listcorp.com/asx/rhy/rhythm-biosciences-limited,25807300,0.091,0,0,Health Care
NXM,ASX:NXM,Nexus Minerals Limited (ASX:NXM),https://www.listcorp.com/asx/nxm/nexus-minerals-limited,25775200,0.053,0,0,Materials
FOA,ASX:MFOA,Milford Australian Absolute Growth Fund Quoted Class (Hedge Fund) (ASX:MFOA),https://www.listcorp.com/asx/mfoa/milford-australian-absolute-growth-fund-quoted-class-hedge-fund,25773800,10.88,0,0,Unclassified
SUH,ASX:SUH,Southern Hemisphere Mining Limited (ASX:SUH),https://www.listcorp.com/asx/suh/southern-hemisphere-mining-limited,25768400,0.035,0,0,Materials
