Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year end price
0296.HK,EMPEROR E HOTEL,Consumer Cyclical,Resorts & Casinos,2022,-0.44,3.192635235535986,-0.1050243687260494,1.0837385880396777,0.0,-1.2770562009377913,0.006217966163084,0.1760002903426875,0.0,667818141.6806488,5030423000.0,0.5619047284126282
0303.HK,VTECH HOLDINGS,Technology,Communication Equipment,2022,0.685,2.683619169612006,0.1161633147238851,2.1901885680612847,5.324817,61.97118828766537,0.1325755027914172,15.818289143905684,0.125436605126382,10737454670.88318,1486700000.0,42.45026397705078
0305.HK,WULING MOTORS,Consumer Cyclical,Auto Parts,2022,0.0069,0.5800543108136198,0.00145451237844,5.397936928643927,0.003,121.10220349353293,0.1503531330393474,1.4405637343394724,0.0035902122021988,2755959766.929657,15545416000.0,0.8356052041053772
0308.HK,CHINA TRAVEL HK,Consumer Cyclical,Leisure,2022,-0.0643,2.9258759754959667,-0.0149723142723239,1.3218288212122489,0.0,-26.63551926798249,0.0715781927337026,0.5853508157128772,0.0,9482385856.334229,23763327000.0,1.7126638889312744
0306.HK,KWOON CHUNG BUS,Industrials,Railroads,2022,-0.294,4.400508068141006,-0.0273695698732298,2.3376282249407,0.0,-8.290816326530612,0.3880982906609789,0.5539133123393457,0.0,1162143918.0,5112795000.0,2.4375
0311.HK,LUEN THAI,Consumer Cyclical,Apparel Manufacturing,2022,0.01,0.1946059866806279,0.0190932488768677,2.564378201866407,0.0424999999999999,39.87469673156738,0.3403938476238913,2.048996406107824,0.1065838827216816,412348232.7507629,519084000.0,0.3987469673156738
0315.HK,SMARTONE TELE,Communication Services,Telecom Services,2022,0.382,4.677136903345835,0.0336352881441828,2.4411446036543247,0.3,10.61461233967886,0.192004423767273,0.8669367601484353,0.0739867165191155,4468004803.464844,12581132000.0,4.054781913757324
0316.HK,OOIL,Industrials,Marine Shipping,2022,15.09,20.34607435914036,0.4973878173477118,1.4908336234116817,47.112,7.551931149916905,0.1038234731430408,5.601013691422534,0.4134131432683615,75255208755.92578,20035161000.0,113.9586410522461
0317.HK,COMEC,Industrials,Aerospace & Defense,2022,0.4871,26.32894251553381,0.0148029225226291,2.480214390046924,0.160089,15.11446138936816,0.1437387916983074,0.2796258960426372,0.0217445631318505,4358976995.864685,46508366648.38,7.3622541427612305
0320.HK,COMPUTIME,Technology,Consumer Electronics,2022,0.1001,1.645501634751997,0.0300814581901767,2.0145249113597643,0.0475,4.318086179224523,0.1359892484331941,0.2626800347150795,0.1098925437867693,364179862.809021,2799964000.0,0.4322404265403747
0321.HK,TEXWINCA HOLD,Consumer Cyclical,Textile Manufacturing,2022,0.138,3.9352783715198,0.0212819517767707,1.6516818357179877,0.3,7.4752094089121055,0.2100208203660873,0.2621361949628676,0.290816340327065,1425332530.9500277,8977748000.0,1.0315788984298706
0322.HK,TINGYI,Consumer Defensive,Packaged Foods,2022,0.4673,2.373211235287869,0.0450358127434395,3.475923576348572,0.93623,27.97705137880155,0.3065925710050347,5.508854801847479,0.0716118398659891,73661795213.12842,58449306000.0,13.073676109313965
0323.HK,MAANSHAN IRON,Basic Materials,Steel,2022,-0.115,16.849883426454383,-0.0088512212842029,2.906981730511721,0.409934,-15.576171875,0.2085353605650776,0.1063069530091059,0.2288523461905411,3104127871.625,96892289376.0,1.791259765625
0327.HK,PAX GLOBAL,Industrials,Business Equipment & Supplies,2022,1.17,6.531813326757113,0.1332593422209072,1.374244879341428,0.32,4.921931486863357,0.009054059137465,0.8816326418944312,0.0555684844931825,6113968967.458191,9490329000.0,5.758659839630127
0331.HK,FSE LIFESTYLE,Industrials,Engineering & Construction,2022,1.1,0.9187866666666666,0.1397311813617299,8.240655350364262,0.4499999999999999,4.2400429465553975,0.1400470757679818,5.076311412019044,0.0964827277099289,2098821258.5449216,3599304000.0,4.6640472412109375
0335.HK,UPBEST GROUP,Financial Services,Capital Markets,2022,0.032,1.0139566232911983,0.0264308110447239,1.2113201356188577,0.02,16.199219971895218,0.0712501613282821,0.5112398570049822,0.0385821046374048,1390447668.5284424,3292975000.0,0.518375039100647
